sample identifier,injection id,data cube label,retention volume (mL),absorbance (mAU),pH (pH),temperature (degC),system flow (mL/min)
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30000.31640625,2.1783366203308105,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30001.625,2.177173376083374,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30002.931640625,2.1741840839385986,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30004.23828125,2.170285940170288,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30005.548828125,2.166961669921875,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30006.853515625,2.1663079261779785,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30008.1640625,2.167494535446167,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30009.474609375,2.1698036193847656,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30010.78125,2.172109365463257,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30012.08984375,2.1727237701416016,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30013.396484375,2.1720564365386963,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30014.703125,2.170299768447876,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30016.013671875,2.1679139137268066,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30017.318359375,2.1667962074279785,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30018.62890625,2.1682021617889404,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30019.9375,2.170421838760376,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30021.244140625,2.171121120452881,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30022.5546875,2.171013832092285,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30023.861328125,2.1718995571136475,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30025.16796875,2.1715500354766846,,,
,20cbc7c4-551c-4b02-813f-b661bd339c30,UV 1_280,30026.478515625,2.1704180240631104,,,
